greek,russian,english,topic
η εκεχειρία,перемирие,ceasefire,international_relations
η διαμεσολάβηση,посредничество,mediation,international_relations
ο αφοπλισμός,разоружение,disarmament,international_relations
η κυριαρχία,суверенитет,sovereignty,international_relations
η δικαιοδοσία,юрисдикция,jurisdiction,international_relations
το εμπάργκο,эмбарго,embargo,international_relations
η αποτροπή,сдерживание,deterrence,international_relations
η επικύρωση συνθήκης,ратификация договора,treaty ratification,international_relations
η πολυμέρεια,многосторонность,multilateralism,international_relations
η διμερής συμφωνία,двустороннее соглашение,bilateral agreement,international_relations
η ουδετερότητα,нейтралитет,neutrality,international_relations
η ανθρωπιστική βοήθεια,гуманитарная помощь,humanitarian aid,international_relations
η προσφυγική κρίση,миграционный кризис,refugee crisis,international_relations
η αποαποικιοποίηση,деколонизация,decolonization,international_relations
η γεωπολιτική,геополитика,geopolitics,international_relations
η ηγεμονία,гегемония,hegemony,international_relations
το προξενείο,консульство,consulate,international_relations
η πρεσβεία,посольство,embassy,international_relations
ο πρέσβης,посол,ambassador,international_relations
η έκδοση (φυγόδικου),экстрадиция,extradition,international_relations
το πολιτικό άσυλο,политическое убежище,political asylum,international_relations
η αυτοδιάθεση,самоопределение,self-determination,international_relations
η ειρηνευτική αποστολή,миротворческая миссия,peacekeeping mission,international_relations
η στρατιωτική επέμβαση,военная интервенция,military intervention,international_relations
η αντιπροσωπεία,делегация,delegation,international_relations
η συνθήκη,договор (международный),treaty,international_relations
η σύμβαση,конвенция,convention,international_relations
η κατάπαυση πυρός,прекращение огня,ceasefire,international_relations
η ένταξη σε διεθνή οργανισμό,вступление в международную организацию,accession to international organization,international_relations
η αλληλεγγύη,солидарность,solidarity,international_relations
η ασυλία,иммунитет (дипломатический),immunity,international_relations
η γενοκτονία,геноцид,genocide,international_relations
η παραβίαση,нарушение (права),violation,international_relations
η κλιμάκωση,эскалация,escalation,international_relations
η αποκλιμάκωση,деэскалация,de-escalation,international_relations
η υπονόμευση,подрыв,undermining,international_relations
η συμμόρφωση,соблюдение (норм),compliance,international_relations
η ανταλλαγή αιχμαλώτων,обмен пленными,prisoner exchange,international_relations
η ομοσπονδία,федерация,federation,international_relations
η συνομοσπονδία,конфедерация,confederation,international_relations
η διεθνής κοινότητα,международное сообщество,international community,international_relations
η υπερεθνική οργάνωση,наднациональная организация,supranational organization,international_relations
ο διεθνής οργανισμός,международная организация,international organization,international_relations
η διπλωματική ατζέντα,дипломатическая повестка,diplomatic agenda,international_relations
η στρατηγική εταιρική σχέση,стратегическое партнёрство,strategic partnership,international_relations
η σύγκρουση συμφερόντων,конфликт интересов,conflict of interest,international_relations
η ένοπλη σύγκρουση,вооружённый конфликт,armed conflict,international_relations
η μεταναστευτική πολιτική,миграционная политика,migration policy,international_relations
η ανθρωπιστική κρίση,гуманитарный кризис,humanitarian crisis,international_relations
η αποστρατιωτικοποίηση,демилитаризация,demilitarization,international_relations
η ψήφισμα,резолюция,resolution,international_relations
η βέτο,вето,veto,international_relations
η αντεπίθεση,контрнаступление,counteroffensive,international_relations
η εδαφική ακεραιότητα,территориальная целостность,territorial integrity,international_relations
η επέκταση,расширение (альянса),expansion,international_relations
η διπλωματική απομόνωση,дипломатическая изоляция,diplomatic isolation,international_relations
η πυρηνική αποτροπή,ядерное сдерживание,nuclear deterrence,international_relations
η ζώνη ελεύθερων συναλλαγών,зона свободной торговли,free trade zone,international_relations
η τελωνειακή ένωση,таможенный союз,customs union,international_relations
η ειρηνική συνύπαρξη,мирное сосуществование,peaceful coexistence,international_relations
η εξωτερική πολιτική,внешняя политика,foreign policy,international_relations
η κατοχή,оккупация,occupation,international_relations
η παρεμβατικότητα,интервенционизм,interventionism,international_relations
η αμοιβαία αναγνώριση,взаимное признание,mutual recognition,international_relations
η αποζημίωση,репарация / компенсация,reparation,international_relations
η διαπραγμάτευση,переговоры,negotiation,international_relations
η συνεργασία,сотрудничество,cooperation,international_relations
η προσέγγιση,сближение,rapprochement,international_relations
η αλλαγή καθεστώτος,смена режима,regime change,international_relations
η ναυτική αποκλεισμός,морская блокада,naval blockade,international_relations
το φαινόμενο του θερμοκηπίου,парниковый эффект,greenhouse effect,environment
το αποτύπωμα άνθρακα,углеродный след,carbon footprint,environment
η υπερθέρμανση του πλανήτη,глобальное потепление,global warming,environment
η αποψίλωση δασών,вырубка лесов,deforestation,environment
η βιοποικιλότητα,биоразнообразие,biodiversity,environment
η ανανεώσιμη ενέργεια,возобновляемая энергия,renewable energy,environment
η αιολική ενέργεια,ветровая энергия,wind energy,environment
η ηλιακή ενέργεια,солнечная энергия,solar energy,environment
η γεωθερμία,геотермальная энергия,geothermal energy,environment
η υδροηλεκτρική ενέργεια,гидроэлектрическая энергия,hydroelectric energy,environment
η ατμοσφαιρική ρύπανση,загрязнение воздуха,air pollution,environment
η ρύπανση υδάτων,загрязнение вод,water pollution,environment
η εδαφική ρύπανση,загрязнение почв,soil pollution,environment
τα τοξικά απόβλητα,токсичные отходы,toxic waste,environment
η κυκλική οικονομία,круговая экономика,circular economy,environment
η πράσινη μετάβαση,зелёный переход,green transition,environment
η απανθρακοποίηση,декарбонизация,decarbonization,environment
η αποδάσωση,обезлесение,deforestation,environment
η ερημοποίηση,опустынивание,desertification,environment
η διάβρωση του εδάφους,эрозия почвы,soil erosion,environment
η κλιματική ουδετερότητα,климатическая нейтральность,climate neutrality,environment
η εξάντληση φυσικών πόρων,истощение природных ресурсов,resource depletion,environment
η οικολογική ισορροπία,экологическое равновесие,ecological balance,environment
η περιβαλλοντική εκτίμηση,экологическая оценка,environmental assessment,environment
η εκπομπή αερίων,выброс газов,gas emissions,environment
τα αέρια του θερμοκηπίου,парниковые газы,greenhouse gases,environment
η ανακύκλωση αποβλήτων,переработка отходов,waste recycling,environment
η κομποστοποίηση,компостирование,composting,environment
η αστική οικολογία,городская экология,urban ecology,environment
η αειφόρος ανάπτυξη,устойчивое развитие,sustainable development,environment
η αναδάσωση,лесовосстановление,reforestation,environment
η υποβάθμιση περιβάλλοντος,деградация окружающей среды,environmental degradation,environment
η θαλάσσια ρύπανση,загрязнение моря,marine pollution,environment
η στοιβάδα του όζοντος,озоновый слой,ozone layer,environment
η τήξη παγετώνων,таяние ледников,glacier melting,environment
η ξηρασία,засуха,drought,environment
η πλημμύρα,наводнение,flood,environment
ο σεισμός,землетрясение,earthquake,environment
η δασική πυρκαγιά,лесной пожар,wildfire,environment
η κλιματική προσαρμογή,климатическая адаптация,climate adaptation,environment
η περιβαλλοντική νομοθεσία,экологическое законодательство,environmental legislation,environment
η επιδημιολογία,эпидемиология,epidemiology,environment
η πανδημία,пандемия,pandemic,health
ο εμβολιασμός,вакцинация,vaccination,health
η ανοσοποίηση,иммунизация,immunization,health
η ψυχική υγεία,психическое здоровье,mental health,health
η κατάθλιψη,депрессия,depression,health
η αγχώδης διαταραχή,тревожное расстройство,anxiety disorder,health
η ψυχοθεραπεία,психотерапия,psychotherapy,health
η φαρμακευτική αγωγή,медикаментозное лечение,pharmaceutical treatment,health
η κλινική δοκιμή,клиническое исследование,clinical trial,health
η παρενέργεια,побочный эффект,side effect,health
η χρόνια νόσος,хроническое заболевание,chronic disease,health
η καρδιαγγειακή νόσος,сердечно-сосудистое заболевание,cardiovascular disease,health
ο σακχαρώδης διαβήτης,сахарный диабет,diabetes mellitus,health
η ογκολογία,онкология,oncology,health
η χημειοθεραπεία,химиотерапия,chemotherapy,health
η ακτινοθεραπεία,лучевая терапия,radiotherapy,health
η μεταμόσχευση,трансплантация,transplantation,health
η διάγνωση,диагноз,diagnosis,health
η πρόληψη,профилактика,prevention,health
η πρωτοβάθμια φροντίδα υγείας,первичная медицинская помощь,primary healthcare,health
η δημόσια υγεία,общественное здоровье,public health,health
η υγειονομική περίθαλψη,медицинское обслуживание,healthcare,health
η ασφαλιστική κάλυψη,страховое покрытие,insurance coverage,health
η μεταδοτική ασθένεια,инфекционное заболевание,infectious disease,health
η αντιβιοτική αντοχή,устойчивость к антибиотикам,antibiotic resistance,health
η νοσηλεία,госпитализация,hospitalization,health
η αναρρωτική άδεια,больничный лист,sick leave,health
η αποκατάσταση,реабилитация,rehabilitation,health
η παχυσαρκία,ожирение,obesity,health
η υπογονιμότητα,бесплодие,infertility,health
η εξάρτηση,зависимость,addiction,health
η αποτοξίνωση,детоксикация,detoxification,health
η γονιδιακή θεραπεία,генная терапия,gene therapy,health
η τηλεϊατρική,телемедицина,telemedicine,health
η βιοηθική,биоэтика,bioethics,health
η ευθανασία,эвтаназия,euthanasia,health
η δωρεά οργάνων,донорство органов,organ donation,health
η αλλεργία,аллергия,allergy,health
η αυτοάνοση νόσος,аутоиммунное заболевание,autoimmune disease,health
η επιδημία,эпидемия,epidemic,health
η υγειονομική μεταρρύθμιση,реформа здравоохранения,healthcare reform,health
η εντατική θεραπεία,интенсивная терапия,intensive care,health
η παθολογία,патология,pathology,health
η νευρολογία,неврология,neurology,health
η χειρουργική επέμβαση,хирургическая операция,surgical operation,health
η αναισθησία,анестезия,anesthesia,health
η νοητική νοημοσύνη,искусственный интеллект,artificial intelligence,technology
η μηχανική μάθηση,машинное обучение,machine learning,technology
το νευρωνικό δίκτυο,нейронная сеть,neural network,technology
ο αλγόριθμος,алгоритм,algorithm,technology
η κυβερνοασφάλεια,кибербезопасность,cybersecurity,technology
η κρυπτογράφηση,шифрование,encryption,technology
η αποκρυπτογράφηση,дешифрование,decryption,technology
η ψηφιοποίηση,цифровизация,digitalization,technology
η αυτοματοποίηση,автоматизация,automation,technology
η ρομποτική,робототехника,robotics,technology
το λογισμικό,программное обеспечение,software,technology
το υλικό (Η/Υ),аппаратное обеспечение,hardware,technology
η βάση δεδομένων,база данных,database,technology
η υπολογιστική νέφους,облачные вычисления,cloud computing,technology
η αλυσίδα συστοιχιών,блокчейн,blockchain,technology
η εικονική πραγματικότητα,виртуальная реальность,virtual reality,technology
η επαυξημένη πραγματικότητα,дополненная реальность,augmented reality,technology
το Διαδίκτυο των πραγμάτων,интернет вещей,Internet of Things,technology
η τρισδιάστατη εκτύπωση,3D-печать,3D printing,technology
η κβαντική υπολογιστική,квантовые вычисления,quantum computing,technology
η ψηφιακή μετάβαση,цифровой переход,digital transition,technology
η προστασία δεδομένων,защита данных,data protection,technology
η παραβίαση δεδομένων,утечка данных,data breach,technology
το κακόβουλο λογισμικό,вредоносное ПО,malware,technology
η ηλεκτρονική απάτη,электронное мошенничество,cyber fraud,technology
η τεχνητή νοημοσύνη,искусственный интеллект,artificial intelligence,technology
η βαθιά μάθηση,глубокое обучение,deep learning,technology
η ψηφιακή υπογραφή,электронная подпись,digital signature,technology
η διαλειτουργικότητα,совместимость (систем),interoperability,technology
η νανοτεχνολογία,нанотехнология,nanotechnology,technology
η βιοτεχνολογία,биотехнология,biotechnology,technology
η αυτόνομη οδήγηση,автономное вождение,autonomous driving,technology
ο αισθητήρας,датчик / сенсор,sensor,technology
η ευρυζωνική σύνδεση,широкополосное соединение,broadband connection,technology
η τηλεργασία,удалённая работа,remote work,technology
η ψηφιακή αγορά,цифровой рынок,digital market,technology
η καινοτομία,инновация,innovation,technology
η νεοφυής επιχείρηση,стартап,startup,technology
η πατέντα,патент,patent,technology
η έρευνα και ανάπτυξη,исследования и разработка,research and development,technology
η ανοιχτή πηγή,открытый исходный код,open source,technology
η ψηφιακή ταυτότητα,цифровая идентичность,digital identity,technology
η δημοσιογραφία έρευνας,расследовательская журналистика,investigative journalism,media
η ελευθερία του Τύπου,свобода прессы,freedom of the press,media
η λογοκρισία,цензура,censorship,media
η προπαγάνδα,пространда,propaganda,media
η παραπληροφόρηση,дезинформация,disinformation,media
η ψευδής είδηση,фейковая новость,fake news,media
η αντικειμενικότητα,объективность,objectivity,media
η μεροληψία,предвзятость,bias,media
η δεοντολογία,профессиональная этика,professional ethics,media
η κοινή γνώμη,общественное мнение,public opinion,media
η ραδιοτηλεοπτική μετάδοση,радиотелевещание,broadcasting,media
η ζωντανή μετάδοση,прямая трансляция,live broadcast,media
η ροή ειδήσεων,лента новостей,news feed,media
η ψηφιακή δημοσιογραφία,цифровая журналистика,digital journalism,media
η εκδοτική πολιτική,редакционная политика,editorial policy,media
ο ανταποκριτής,корреспондент,correspondent,media
η ρεπορτάζ,репортаж,reportage,media
η συνέντευξη τύπου,пресс-конференция,press conference,media
η σύνταξη (σε εφημερίδα),редакция,editorial board,media
η κυκλοφορία (εντύπου),тираж,circulation,media
η ψηφιακή συνδρομή,цифровая подписка,digital subscription,media
η διαδικτυακή πλατφόρμα,интернет-платформа,online platform,media
η αλγοριθμική επιμέλεια,алгоритмическая курация,algorithmic curation,media
η φίλτρο φυσαλίδα,пузырь фильтров,filter bubble,media
η ηχητική κάλυψη,звуковое сопровождение,audio coverage,media
η πηγή πληροφόρησης,источник информации,information source,media
η επαλήθευση γεγονότων,проверка фактов,fact-checking,media
η δημοσκόπηση,опрос общественного мнения,opinion poll,media
η πνευματική ιδιοκτησία,интеллектуальная собственность,intellectual property,media
η χορηγία,спонсорство,sponsorship,media
η διαφημιστική καμπάνια,рекламная кампания,advertising campaign,media
η αφηγηματική τεχνική,нарративная техника,narrative technique,media
η τηλεθέαση,телеаудитория,TV ratings,media
η ακροαματικότητα,радиоаудитория,radio ratings,media
η επικαιρότητα,актуальность / текущие события,current affairs,media
η αρθρογραφία,написание статей,article writing,media
η στήλη γνώμης,колонка мнений,opinion column,media
η ειδησεογραφική κάλυψη,новостное освещение,news coverage,media
η σατιρική εκπομπή,сатирическая передача,satirical show,media
η ντοκιμαντέρ,документальный фильм,documentary,media
η μαζική επικοινωνία,массовая коммуникация,mass communication,media
